margin_m,episodes,target_collision_episodes,no_candidate_episodes,static_clearance_violation_episodes,minimum_target_separation_m,minimum_static_surface_clearance_m,passes
0.0,500,23,18,0,1.2279966169091965,1.5000540543503091,False
0.5,500,3,12,0,1.8916330751867323,1.5000540543503091,False
1.0,500,0,17,0,2.336076511785996,1.5000540543503091,False
1.5,500,0,30,0,2.611153382588916,1.5000540543503091,False
2.0,500,0,68,0,3.260959406146127,1.5000540543503091,False
2.5,500,0,175,0,3.697653071183866,1.5000540543503091,False
3.0,500,0,200,0,4.365785410379576,1.5000540543503091,False
