scenario,planner,seed,steps,duration_s,planning_safety_margin_m,mean_snr_db,min_snr_db,mean_outage_probability,mean_ber_model,mean_goodput_bps_model,path_length_m,progress_m,min_target_distance_m,min_realized_ttc_s,min_static_obstacle_clearance_m,static_clearance_violation_steps,static_clearance_violation_indicator,collision_indicator,collision_steps,first_collision_step,first_collision_time_s,no_candidate_steps,first_no_candidate_step,zero_candidate_after_static_steps,zero_candidate_after_dynamic_steps,candidate_evaluations,candidate_road_rejections,candidate_speed_rejections,candidate_static_rejections,candidate_dynamic_rejections,candidate_feasible,prediction_ade_m,prediction_fde_m,measured_optical_link
following_lateral_offset,P0,9000,40,4.0,2.0,16.283317738717784,7.848920693092737,0.05487259256574739,3.744517526569706e-05,999962554.8247343,36.360000000000014,36.360000000000014,3.8999487176115406,1.4181512689092413,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,1726,4354,1.8225331140428995,4.157889384919348,False
following_lateral_offset,P1,9000,40,4.0,2.0,16.283317738717784,7.848920693092737,0.05487259256574739,3.744517526569706e-05,999962554.8247343,36.360000000000014,36.360000000000014,3.8999487176115406,1.4181512689092413,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,1726,4354,1.8225331140428995,4.157889384919348,False
following_lateral_offset,P2,9000,40,4.0,2.0,17.292320577467056,11.778943806708853,0.01687443414830747,3.71828220646885e-09,999999996.2817177,36.27000000000002,36.266204032132705,3.94255179285472,1.3946782290017208,inf,0,0,0,0,-1,inf,1,1,0,1,6080,156,0,0,1564,4360,1.8225331140428995,4.157889384919348,False
following_lateral_offset,P3,9000,40,4.0,2.0,16.944283821857066,11.324070518864712,0.021479386477759876,1.679775484481015e-08,999999983.2022451,36.3,36.298143479749015,3.9272441745022597,1.3946782290017208,inf,0,0,0,0,-1,inf,1,1,0,1,6080,102,0,0,1616,4362,1.8225331140428995,4.157889384919348,False
following_lateral_offset,P4,9000,40,4.0,2.0,17.757906911351135,13.514727230158453,0.010498435084847204,2.2953991727041162e-12,999999999.9977047,36.19000000000002,36.18627646048348,3.9942580342811054,1.3946782290017208,inf,0,0,0,0,-1,inf,1,1,0,1,6080,222,0,0,1519,4339,1.8225331140428995,4.157889384919348,False
following_lateral_offset,P0,9001,40,4.0,2.0,15.726395468345137,5.409527396047373,0.1097431690727281,0.0007835639932633027,999216436.0067368,36.58000000000001,36.57949211105884,3.7044844747327854,1.0925142942874264,inf,0,0,0,0,-1,inf,0,-1,0,0,6080,23,0,0,1804,4253,1.8669593561435256,4.219168712727196,False
following_lateral_offset,P1,9001,40,4.0,2.0,15.726395468345137,5.409527396047373,0.1097431690727281,0.0007835639932633027,999216436.0067368,36.58000000000001,36.57949211105884,3.7044844747327854,1.0925142942874264,inf,0,0,0,0,-1,inf,0,-1,0,0,6080,23,0,0,1804,4253,1.8669593561435256,4.219168712727196,False
following_lateral_offset,P2,9001,40,4.0,2.0,16.506356705207235,7.783860179639021,0.054708306482676085,4.399593300704463e-05,999956004.066993,36.58000000000001,36.57724519099654,3.665901378138207,1.0364619107672943,inf,0,0,0,0,-1,inf,0,-1,0,0,6080,115,0,0,1740,4225,1.8669593561435256,4.219168712727196,False
following_lateral_offset,P3,9001,40,4.0,2.0,16.207496640846422,6.831646513168181,0.0722466958979659,0.00016163971701266575,999838360.2829872,36.58000000000002,36.57907794080663,3.6802517014147287,1.0468660329321429,inf,0,0,0,0,-1,inf,0,-1,0,0,6080,55,0,0,1790,4235,1.8669593561435256,4.219168712727196,False
following_lateral_offset,P4,9001,40,4.0,2.0,18.32310075940712,8.286282189425815,0.0302626669557411,1.544127384797845e-05,999984558.7261521,36.18333333333334,36.16023138539339,4.00800583903445,1.1411668368173487,inf,0,0,0,0,-1,inf,0,-1,0,0,6080,1316,0,0,1280,3484,1.8669593561435256,4.219168712727196,False
following_lateral_offset,P0,9002,40,4.0,2.0,16.32092857588074,7.8028268281729645,0.053681396853580976,3.704736777658534e-05,999962952.6322235,36.365666666666684,36.365666666666684,3.894660290420418,1.313456230416586,inf,0,0,0,0,-1,inf,0,-1,0,0,6080,0,0,0,1754,4326,1.8277397465175511,4.094309413166095,False
following_lateral_offset,P1,9002,40,4.0,2.0,16.32092857588074,7.8028268281729645,0.053681396853580976,3.704736777658534e-05,999962952.6322235,36.365666666666684,36.365666666666684,3.894660290420418,1.313456230416586,inf,0,0,0,0,-1,inf,0,-1,0,0,6080,0,0,0,1754,4326,1.8277397465175511,4.094309413166095,False
following_lateral_offset,P2,9002,40,4.0,2.0,18.34185419785902,15.116125601694426,0.0073117210609903015,9.881845005660334e-17,1000000000.0,36.07000000000003,36.064108111728466,4.096375497317214,1.3208396573027277,inf,0,0,0,0,-1,inf,0,-1,0,0,6080,330,0,0,1387,4363,1.8277397465175511,4.094309413166095,False
following_lateral_offset,P3,9002,40,4.0,2.0,18.086556862007768,14.061243726940074,0.008882946148480272,1.0925740409423325e-13,999999999.9998907,36.185666666666684,36.18157971101314,3.9951773106542605,1.3208396573027277,inf,0,0,0,0,-1,inf,0,-1,0,0,6080,281,0,0,1498,4301,1.8277397465175511,4.094309413166095,False
following_lateral_offset,P4,9002,40,4.0,2.0,20.69462424752826,16.001791007316,0.004182430707453111,7.636400952429453e-20,1000000000.0,35.90666666666665,35.89359183537147,4.145257507179331,1.3606222762149203,inf,0,0,0,0,-1,inf,0,-1,0,0,6080,1455,0,0,1140,3485,1.8277397465175511,4.094309413166095,False
