run_id,mode,n,mean_measured_delay_ms,violation_fraction,changed_fraction,unsupported_fraction,mean_mobility_deviation
s2w_n8_v30_run01,P0,1549,26.138153647514525,0.030987734021949646,0.0,0.05422853453841188,0.0
s2w_n8_v30_run01,P1,1549,26.138153647514525,0.030987734021949646,0.0,0.05422853453841188,0.0
s2w_n8_v30_run01,P2,1549,26.138153647514525,0.030987734021949646,0.0,0.05422853453841188,0.0
s2w_n8_v30_run01,P3,1549,26.13234344738541,0.030987734021949646,0.025177533892834086,0.029051000645577793,0.012588766946417043
s2w_n8_v30_run03,P0,1564,23.906649616368288,0.019820971867007674,0.0,0.005754475703324808,0.0
s2w_n8_v30_run03,P1,1564,23.906649616368288,0.019820971867007674,0.0,0.005754475703324808,0.0
s2w_n8_v30_run03,P2,1564,23.906649616368288,0.019820971867007674,0.0,0.005754475703324808,0.0
s2w_n8_v30_run03,P3,1564,23.918158567774935,0.019820971867007674,0.004475703324808184,0.0012787723785166241,0.002237851662404092
w2s_n78_v30_run03,P0,1691,16.348905972797162,0.0017740981667652277,0.0,0.0,0.0
w2s_n78_v30_run03,P1,1691,16.348905972797162,0.0017740981667652277,0.0,0.0,0.0
w2s_n78_v30_run03,P2,1691,16.288586635127142,0.0011827321111768185,0.006505026611472502,0.0,0.003252513305736251
w2s_n78_v30_run03,P3,1691,16.288586635127142,0.0011827321111768185,0.006505026611472502,0.0,0.003252513305736251
w2s_n78_v30_run04,P0,1229,17.133441822620018,0.0040683482506102524,0.0,0.11554109031733116,0.0
w2s_n78_v30_run04,P1,1229,17.133441822620018,0.0040683482506102524,0.0,0.11554109031733116,0.0
w2s_n78_v30_run04,P2,1229,17.127746135069163,0.0040683482506102524,0.008136696501220505,0.11716842961757526,0.0040683482506102524
w2s_n78_v30_run04,P3,1229,17.131814483319772,0.0040683482506102524,0.06427990235964198,0.060211554109031735,0.03213995117982099
w2s_n78_v30_run05,P0,1185,17.561181434599156,0.008438818565400843,0.0,0.6641350210970464,0.0
w2s_n78_v30_run05,P1,1185,17.561181434599156,0.008438818565400843,0.0,0.6641350210970464,0.0
w2s_n78_v30_run05,P2,1185,17.567088607594936,0.008438818565400843,0.010970464135021098,0.6641350210970464,0.005485232067510549
w2s_n78_v30_run05,P3,1185,17.551898734177215,0.008438818565400843,0.05232067510548523,0.6227848101265823,0.026160337552742614
w2s_n8_v30_run07,P0,1270,34.7503937007874,0.05984251968503937,0.0,0.0,0.0
w2s_n8_v30_run07,P1,1270,34.7503937007874,0.05984251968503937,0.0,0.0,0.0
w2s_n8_v30_run07,P2,1270,30.88267716535433,0.05196850393700787,0.05433070866141732,0.0,0.02716535433070866
w2s_n8_v30_run07,P3,1270,30.879527559055116,0.05196850393700787,0.05748031496062992,0.0,0.02874015748031496
w2s_n8_v30_run10,P0,1368,26.62719298245614,0.03070175438596491,0.0,0.5577485380116959,0.0
w2s_n8_v30_run10,P1,1368,26.62719298245614,0.03070175438596491,0.0,0.5577485380116959,0.0
w2s_n8_v30_run10,P2,1368,25.62719298245614,0.027777777777777776,0.0577485380116959,0.5577485380116959,0.02887426900584795
w2s_n8_v30_run10,P3,1368,25.989766081871345,0.03070175438596491,0.09283625730994152,0.5285087719298246,0.04641812865497076
w2s_n8_v50_run02,P0,1118,24.88908765652952,0.026833631484794274,0.0,0.008050089445438283,0.0
w2s_n8_v50_run02,P1,1118,24.88908765652952,0.026833631484794274,0.0,0.008050089445438283,0.0
w2s_n8_v50_run02,P2,1118,23.389982110912342,0.01699463327370304,0.03935599284436494,0.008050089445438283,0.01967799642218247
w2s_n8_v50_run02,P3,1118,23.161896243291594,0.01520572450805009,0.055456171735241505,0.0,0.027728085867620753
w2s_n8_v50_run06,P0,514,22.503891050583658,0.013618677042801557,0.0,0.0,0.0
w2s_n8_v50_run06,P1,514,22.503891050583658,0.013618677042801557,0.0,0.0,0.0
w2s_n8_v50_run06,P2,514,21.80350194552529,0.009727626459143969,0.048638132295719845,0.0,0.024319066147859923
w2s_n8_v50_run06,P3,514,22.330739299610894,0.011673151750972763,0.05642023346303502,0.0,0.02821011673151751
