horizon_steps,n_seeds,median_horizon_ms,mean_delta_mae_ms,median_delta_mae_ms,min_delta_mae_ms,max_delta_mae_ms,fraction_seeds_improved,mean_fallback_fraction,mean_global_coverage,mean_adaptive_coverage
1,5,55.0,-0.04227388229384506,-0.05530104813496273,-0.36062983905848967,0.5669191022762128,0.8,0.40479350262633423,0.8571627080586733,0.8553848998685242
5,5,276.0,-0.28611178746397636,-0.5226426772386414,-1.3908010638503328,1.970820979132995,0.8,0.3760233720580962,0.8423455143914651,0.8396329470620625
10,5,552.0,-0.7199638969700839,-0.7523890774385613,-1.6238225445432448,0.3163355848494245,0.8,0.37602125549460563,0.8390923060610194,0.8354817839143678
20,5,1106.0,-1.4597003155500605,-1.288992063771536,-3.237361979431718,-0.1652732499768863,1.0,0.3760171597488412,0.8386052849605481,0.8372690637640956
50,5,2766.0,-2.5060474963450403,-1.9412244351382402,-6.795861102515529,-0.18215326539513654,1.0,0.37600609738557944,0.8352067265963328,0.8340205862290848
100,5,5534.0,-2.62227661992299,-2.13942727123208,-7.089160331763615,-0.1855977458348459,1.0,0.3759927198311785,0.8372128626137414,0.8335202300148673
