support_bin,n,mae_ms,coverage,violation_rate
<=1m,10369,5.331854566496287,0.8883209566978494,0.01986691098466583
1-5m,1230,7.119512195121951,0.8642276422764228,0.036585365853658534
5-15m,159,9.578616352201259,0.7610062893081762,0.0440251572327044
