planner,episodes,outage,snr_db,ber_model,goodput_bps_model,path_length_m,progress_m,min_target_distance_m,min_realized_ttc_s,collision_rate,mean_no_candidate_steps,max_no_candidate_steps
P0,100,0.18896537583923892,13.335043018191747,0.054342824189360484,945657175.8106395,30.064180576766457,30.040737841777705,4.970748682936835,2.355020420410612,0.0,0.4,1
P1,100,0.08484907928654155,16.039111982816877,5.9831508560942473e-05,999940168.4914391,30.002905981756594,29.983638154851597,5.164249770406193,2.4007142976214335,0.0,0.4,1
P2,100,0.08091523999968718,16.03886211597181,6.82355094097405e-05,999931764.4905902,30.0562990419682,30.036081082699877,4.970748682936835,2.3832021850946714,0.0,0.4,1
P3,100,0.08173539772494182,15.974756548187786,5.429118381075025e-05,999945708.8161893,30.060994863654333,30.04296047570252,4.970748682936835,2.355020420410612,0.0,0.4,1
P4,100,0.07770938898374889,16.122454976570353,4.925887890042161e-05,999950741.1210996,30.05478391009979,30.03488271845387,4.970748682936835,2.355020420410612,0.0,0.4,1
