scenario,planner,seed,steps,duration_s,planning_safety_margin_m,mean_snr_db,min_snr_db,mean_outage_probability,mean_ber_model,mean_goodput_bps_model,path_length_m,progress_m,min_target_distance_m,min_realized_ttc_s,min_static_obstacle_clearance_m,static_clearance_violation_steps,static_clearance_violation_indicator,collision_indicator,collision_steps,first_collision_step,first_collision_time_s,no_candidate_steps,first_no_candidate_step,zero_candidate_after_static_steps,zero_candidate_after_dynamic_steps,candidate_evaluations,candidate_road_rejections,candidate_speed_rejections,candidate_static_rejections,candidate_dynamic_rejections,candidate_feasible,prediction_ade_m,prediction_fde_m,measured_optical_link
following_lateral_offset,P0,12000,40,4.0,2.5,17.5110924022287,15.320185892583181,0.009849872445566758,2.3549248019720625e-17,1000000000.0,34.62333333333335,34.62333333333335,5.555946764003798,2.6783288571460764,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,2808,3272,1.6338930626009258,3.8139706020221498,False
following_lateral_offset,P1,12000,40,4.0,2.5,17.536584751512912,15.533687517562043,0.00960290284566807,4.347426602024154e-18,1000000000.0,34.51000000000001,34.51000000000001,5.665695014735602,2.785604412091193,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,2776,3304,1.6338930626009258,3.8139706020221498,False
following_lateral_offset,P2,12000,40,4.0,2.5,17.5110924022287,15.320185892583181,0.009849872445566758,2.3549248019720625e-17,1000000000.0,34.62333333333335,34.62333333333335,5.555946764003798,2.6783288571460764,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,2808,3272,1.6338930626009258,3.8139706020221498,False
following_lateral_offset,P3,12000,40,4.0,2.5,17.5110924022287,15.320185892583181,0.009849872445566758,2.3549248019720625e-17,1000000000.0,34.62333333333335,34.62333333333335,5.555946764003798,2.6783288571460764,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,2808,3272,1.6338930626009258,3.8139706020221498,False
following_lateral_offset,P4,12000,40,4.0,2.5,17.5110924022287,15.320185892583181,0.009849872445566758,2.3549248019720625e-17,1000000000.0,34.62333333333335,34.62333333333335,5.555946764003798,2.6783288571460764,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,2808,3272,1.6338930626009258,3.8139706020221498,False
following_lateral_offset,P0,12001,40,4.0,2.5,17.45303177351669,15.079059242007819,0.010615455303610737,1.6518659684826656e-16,999999999.9999998,34.74000000000001,34.74000000000001,5.4431241029394055,2.4870058825855135,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,2845,3235,1.621066885958316,3.849767745652082,False
following_lateral_offset,P1,12001,40,4.0,2.5,18.5075425350067,16.137508032910766,0.006241933183672858,2.0674167121892986e-20,1000000000.0,34.73666666666667,34.73168999028349,5.388172840012395,2.495020420410609,inf,0,0,0,0,-1,inf,1,1,0,1,6080,243,0,0,2637,3200,1.621066885958316,3.849767745652082,False
following_lateral_offset,P2,12001,40,4.0,2.5,17.45303177351669,15.079059242007819,0.010615455303610737,1.6518659684826656e-16,999999999.9999998,34.74000000000001,34.74000000000001,5.4431241029394055,2.4870058825855135,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,2845,3235,1.621066885958316,3.849767745652082,False
following_lateral_offset,P3,12001,40,4.0,2.5,17.45303177351669,15.079059242007819,0.010615455303610737,1.6518659684826656e-16,999999999.9999998,34.74000000000001,34.74000000000001,5.4431241029394055,2.4870058825855135,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,2845,3235,1.621066885958316,3.849767745652082,False
following_lateral_offset,P4,12001,40,4.0,2.5,18.50539438213054,16.137508032910766,0.006246801310149989,2.0674610630168335e-20,1000000000.0,34.75166666666667,34.74668885664423,5.373495625986099,2.4870058825855135,inf,0,0,0,0,-1,inf,1,1,0,1,6080,243,0,0,2643,3194,1.621066885958316,3.849767745652082,False
following_lateral_offset,P0,12002,40,4.0,2.5,17.515698119474674,15.397781976724705,0.009888331042528712,1.3143602714557968e-17,1000000000.0,34.58333333333334,34.58333333333334,5.594665117572068,2.6336034243095905,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,2772,3308,1.6801316419628702,3.8251668060312,False
following_lateral_offset,P1,12002,40,4.0,2.5,18.420275190067194,16.137508032910766,0.006442944824827708,2.0671004511422876e-20,1000000000.0,34.45333333333333,34.448676847803604,5.669529341447862,2.714415597405189,inf,0,0,0,0,-1,inf,1,1,0,1,6080,225,0,0,2553,3302,1.6801316419628702,3.8251668060312,False
following_lateral_offset,P2,12002,40,4.0,2.5,17.515698119474674,15.397781976724705,0.009888331042528712,1.3143602714557968e-17,1000000000.0,34.58333333333334,34.58333333333334,5.594665117572068,2.6336034243095905,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,2772,3308,1.6801316419628702,3.8251668060312,False
following_lateral_offset,P3,12002,40,4.0,2.5,17.515698119474674,15.397781976724705,0.009888331042528712,1.3143602714557968e-17,1000000000.0,34.58333333333334,34.58333333333334,5.594665117572068,2.6336034243095905,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,2772,3308,1.6801316419628702,3.8251668060312,False
following_lateral_offset,P4,12002,40,4.0,2.5,18.415820164413127,16.137508032910766,0.006455878881815968,2.067209144533315e-20,1000000000.0,34.53500000000001,34.5303423427326,5.589578264804246,2.67805196104155,inf,0,0,0,0,-1,inf,1,1,0,1,6080,225,0,0,2591,3264,1.6801316419628702,3.8251668060312,False
following_lateral_offset,P0,12003,40,4.0,2.5,17.381542557300047,15.845154765975941,0.009860053467123351,3.5261253559032566e-19,1000000000.0,34.32333333333332,34.32333333333332,5.846755035440133,2.4007142976214335,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,2781,3299,1.63505044890626,3.9169352334224983,False
following_lateral_offset,P1,12003,40,4.0,2.5,17.921375922472347,16.137508032910766,0.007728682113816512,2.080701214564414e-20,1000000000.0,34.32333333333333,34.320373372018565,5.8130297425819695,2.4007142976214335,inf,0,0,0,0,-1,inf,1,1,0,1,6080,142,0,0,2660,3278,1.63505044890626,3.9169352334224983,False
following_lateral_offset,P2,12003,40,4.0,2.5,17.921375922472347,16.137508032910766,0.007728682113816512,2.080701214564414e-20,1000000000.0,34.32333333333333,34.320373372018565,5.8130297425819695,2.4007142976214335,inf,0,0,0,0,-1,inf,1,1,0,1,6080,142,0,0,2660,3278,1.63505044890626,3.9169352334224983,False
following_lateral_offset,P3,12003,40,4.0,2.5,17.381542557300047,15.845154765975941,0.009860053467123351,3.5261253559032566e-19,1000000000.0,34.32333333333332,34.32333333333332,5.846755035440133,2.4007142976214335,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,2781,3299,1.63505044890626,3.9169352334224983,False
following_lateral_offset,P4,12003,40,4.0,2.5,18.268154235641372,16.137508032910766,0.007402725637116078,2.080701214564414e-20,1000000000.0,34.30333333333332,34.29261279353228,5.812386753095253,2.4007142976214335,inf,0,0,0,0,-1,inf,1,1,0,1,6080,280,0,0,2551,3249,1.63505044890626,3.9169352334224983,False
following_lateral_offset,P0,12004,40,4.0,2.5,17.472362136207472,15.192096243653362,0.010187404275622486,6.537794604636046e-17,1000000000.0,34.68666666666668,34.68666666666668,5.494680255584574,2.5236320550944566,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,2932,3148,1.6009649607209575,3.727581109761543,False
following_lateral_offset,P1,12004,40,4.0,2.5,17.464679443964393,15.164288931121426,0.010256048306026324,8.070130672379885e-17,1000000000.0,34.70000000000001,34.70000000000001,5.481788029466289,2.487728238369235,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,2937,3143,1.6009649607209575,3.727581109761543,False
following_lateral_offset,P2,12004,40,4.0,2.5,17.47333270875749,15.212757157623383,0.010175639332528267,5.643646056010584e-17,1000000000.0,34.676666666666684,34.676666666666684,5.504350804388979,2.5236320550944566,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,2926,3154,1.6009649607209575,3.727581109761543,False
following_lateral_offset,P3,12004,40,4.0,2.5,17.472362136207472,15.192096243653362,0.010187404275622486,6.537794604636046e-17,1000000000.0,34.68666666666668,34.68666666666668,5.494680255584574,2.5236320550944566,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,2932,3148,1.6009649607209575,3.727581109761543,False
following_lateral_offset,P4,12004,40,4.0,2.5,17.472362136207472,15.192096243653362,0.010187404275622486,6.537794604636046e-17,1000000000.0,34.68666666666668,34.68666666666668,5.494680255584574,2.5236320550944566,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,2932,3148,1.6009649607209575,3.727581109761543,False
following_lateral_offset,P0,12005,40,4.0,2.5,17.484670497842785,15.174751579365527,0.010339534663428768,7.920400091317156e-17,1000000000.0,34.69500000000001,34.69500000000001,5.48662236717636,2.3832021850946714,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,2796,3284,1.6408010684568168,3.7153364667535724,False
following_lateral_offset,P1,12005,40,4.0,2.5,18.988110058019043,16.137508032910766,0.005254365391730635,2.0668687426891522e-20,1000000000.0,34.51666666666667,34.50975637265527,5.58460654427287,2.4151450682505633,inf,0,0,0,0,-1,inf,1,1,0,1,6080,371,0,0,2444,3265,1.6408010684568168,3.7153364667535724,False
following_lateral_offset,P2,12005,40,4.0,2.5,19.049906007523788,16.137508032910766,0.00512399162861039,2.066868731689807e-20,1000000000.0,34.592666666666645,34.58590376289893,5.507644469099373,2.3832021850946714,inf,0,0,0,0,-1,inf,1,1,0,1,6080,385,0,0,2442,3253,1.6408010684568168,3.7153364667535724,False
following_lateral_offset,P3,12005,40,4.0,2.5,17.484670497842785,15.174751579365527,0.010339534663428768,7.920400091317156e-17,1000000000.0,34.69500000000001,34.69500000000001,5.48662236717636,2.3832021850946714,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,2796,3284,1.6408010684568168,3.7153364667535724,False
following_lateral_offset,P4,12005,40,4.0,2.5,17.493889077248106,15.243438839627506,0.010246447485866264,4.712133936009189e-17,1000000000.0,34.66166666666668,34.66166666666668,5.518858829303174,2.3832021850946714,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,2785,3295,1.6408010684568168,3.7153364667535724,False
following_lateral_offset,P0,12006,40,4.0,2.5,17.40201056096699,14.71768356838211,0.010979037439891844,1.946047607432886e-15,999999999.9999981,34.89666666666668,34.89666666666668,5.291881622930633,2.4934077564932715,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,2880,3200,1.6414959151305535,3.7808952782077476,False
following_lateral_offset,P1,12006,40,4.0,2.5,17.440408150420076,14.991052726859017,0.010499769992137208,2.8464313741770613e-16,999999999.9999996,34.78000000000001,34.78000000000001,5.4044796234235095,2.555507181066372,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,2834,3246,1.6414959151305535,3.7808952782077476,False
following_lateral_offset,P2,12006,40,4.0,2.5,17.40327340417149,14.734000310257889,0.01096135825120532,1.7418690615646427e-15,999999999.9999983,34.890000000000015,34.890000000000015,5.298311051646539,2.4934077564932715,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,2878,3202,1.6414959151305535,3.7808952782077476,False
