planner,episodes,outage,snr_db,ber_model,goodput_bps_model,path_length_m,progress_m,min_target_distance_m,min_realized_ttc_s,collision_rate,mean_no_candidate_steps,max_no_candidate_steps
P0,100,0.21505975600529406,13.046180323792118,0.05950618919646017,940493810.8035399,31.262077243433122,31.23855703557938,2.7421571721458604,0.5114285864691801,0.0,0.0,0
P1,100,0.11086786619985635,15.661964206970078,0.005222849625844167,994777150.3741559,31.261799433314465,31.24316314481584,2.7421571721458604,0.5114285864691801,0.0,0.0,0
P2,100,0.09209703999116903,16.03256725934439,0.0006412030904521332,999358796.9095479,31.220209764410082,31.199398501578965,2.645711721330928,0.5618298205274985,0.0,0.0,0
P3,100,0.09482596870400402,15.938532236194636,0.0011047921950804885,998895207.8049196,31.226579295057427,31.207723095964496,2.6590074666243715,0.5218103864694957,0.0,0.0,0
P4,100,0.09178617036915213,16.0160178913071,0.001998251443169518,998001748.5568304,31.217273910099788,31.197215793748395,2.671908684249374,0.5218103864694957,0.0,0.0,0
