planner,episodes,outage,snr_db,ber_model,goodput_bps_model,path_length_m,progress_m,min_target_distance_m,min_realized_ttc_s,collision_rate,mean_no_candidate_steps,max_no_candidate_steps
P0,100,0.22012506387221834,12.82591702564792,0.06391678221901484,936083217.7809851,31.84239057676645,31.818708176010126,2.180086165989885,0.17427659009256843,0.0,0.09,3
P1,100,0.11628465412752725,15.469405654747863,0.009554830153339064,990445169.846661,31.866745981756583,31.84782953578313,2.107103889762329,0.16999868664805773,0.0,0.11,3
P2,100,0.1097210071655669,15.570773017789243,0.008057029857849504,991942970.1421504,31.816145708634863,31.79615920601015,2.1950172416499263,0.17427659009256843,0.0,0.11,3
P3,100,0.11205028164005705,15.502181844107083,0.008866879249989707,991133120.7500103,31.828671530320992,31.81042410636604,2.1751093515362547,0.17427659009256843,0.0,0.08,3
P4,100,0.10723890623847958,15.588760967508883,0.008553664192736366,991446335.8072636,31.81161724343312,31.791947863381157,2.1999944752522587,0.17427659009256843,0.0,0.1,3
