planner,episodes,outage,snr_db,ber_model,goodput_bps_model,path_length_m,progress_m,min_target_distance_m,min_realized_ttc_s,collision_rate,mean_no_candidate_steps,max_no_candidate_steps
P0,100,0.18880567375913074,13.297613072330773,0.054342824189360435,945657175.8106396,29.85854057676646,29.835097841777703,5.377414509060226,2.5886851918664266,0.0,0.0,0
P1,100,0.10018621798421636,15.28031031636296,0.009166842176559522,990833157.8234406,29.765784453735943,29.745721589733943,5.663874618239738,2.6342245152228023,0.0,0.0,0
P2,100,0.09457106109649578,15.34895044836825,0.009158704631100129,990841295.3688998,29.85041963834936,29.829368569575692,5.377414509060226,2.5886851918664266,0.0,0.0,0
P3,100,0.09585077164595746,15.292339908804639,0.009159248656076084,990840751.3439239,29.8583464916302,29.839023621220928,5.377414509060226,2.5886851918664266,0.0,0.0,0
P4,100,0.09442870249891099,15.357010112168485,0.009158839341133538,990841160.6588664,29.847557243433126,29.827019630670478,5.376624269331971,2.5886851918664266,0.0,0.0,0
