planner,episodes,outage,snr_db,ber_model,goodput_bps_model,path_length_m,progress_m,min_target_distance_m,min_realized_ttc_s,collision_rate,mean_no_candidate_steps,max_no_candidate_steps
P0,100,0.19057705345477902,13.245699631496812,0.05434361176211557,945656388.2378845,30.28937057676646,30.26545087483265,4.571468050373437,1.9966857257165673,0.0,0.38,1
P1,100,0.08619804062689303,15.897643838353897,6.0042929722966805e-05,999939957.0702771,30.259872648423258,30.24061737457206,4.534840205689772,1.9853694729093467,0.0,0.38,1
P2,100,0.08172643766779525,16.00583613517858,7.119958350334263e-05,999928800.4164968,30.281779041968203,30.2610814598847,4.571468050373437,1.9966857257165673,0.0,0.38,1
P3,100,0.08255435435566895,15.942441437321161,5.450260487905903e-05,999945497.395121,30.283958196987665,30.26535568439653,4.571468050373437,1.9966857257165673,0.0,0.38,1
P4,100,0.07847742724801322,16.083645582878145,4.947029995744002e-05,999950529.7000426,30.27746057676646,30.256984278203372,4.631405848722913,1.9966857257165673,0.0,0.38,1
