margin_m,episodes,target_collision_episodes,no_candidate_episodes,static_clearance_violation_episodes,margin_relaxation_episodes,margin_relaxation_steps,minimum_target_separation_m,minimum_static_surface_clearance_m,passes
0.0,500,0,25,0,0,0,2.140274676563854,1.5000540543503091,False
0.5,500,0,0,0,14,27,2.645711721330928,1.5000540543503091,True
1.0,500,0,0,0,0,0,3.410586459833544,1.5000540543503091,True
1.5,500,0,0,0,20,20,4.153618318476675,1.5000540543503091,True
2.0,500,0,0,0,170,170,4.529845548265469,1.5000540543503091,True
2.5,500,0,0,0,200,200,4.968084386251718,1.5000540543503091,True
3.0,500,0,0,0,200,205,5.39440164759584,1.5000540543503091,True
