scenario,planner,seed,steps,duration_s,planning_safety_margin_m,mean_snr_db,min_snr_db,mean_outage_probability,mean_ber_model,mean_goodput_bps_model,path_length_m,progress_m,min_target_distance_m,min_realized_ttc_s,min_static_obstacle_clearance_m,static_clearance_violation_steps,static_clearance_violation_indicator,collision_indicator,collision_steps,first_collision_step,first_collision_time_s,no_candidate_steps,first_no_candidate_step,zero_candidate_after_static_steps,zero_candidate_after_dynamic_steps,candidate_evaluations,candidate_road_rejections,candidate_speed_rejections,candidate_static_rejections,candidate_dynamic_rejections,candidate_feasible,prediction_ade_m,prediction_fde_m,measured_optical_link
following_lateral_offset,P0,12000,40,4.0,1.5,20.647998964230585,16.001791007316,0.004205820055801282,7.636400952430603e-20,1000000000.0,35.13333333333334,35.118560146803986,4.900583602609764,1.9895244094463884,inf,0,0,0,0,-1,inf,0,-1,0,0,6080,1668,0,0,1657,2755,1.6338930626009258,3.8139706020221498,False
following_lateral_offset,P1,12000,40,4.0,1.5,20.632932259033687,16.001791007316,0.004225371316820483,7.636400952431205e-20,1000000000.0,34.96666666666669,34.9513828130073,5.0629845931641935,2.1841490751475394,inf,0,0,0,0,-1,inf,0,-1,0,0,6080,1717,0,0,1585,2778,1.6338930626009258,3.8139706020221498,False
following_lateral_offset,P2,12000,40,4.0,1.5,20.721179678715465,16.001791007316,0.004198958163105506,7.636400952430603e-20,1000000000.0,35.17166666666667,35.15629056992582,4.858204284217471,2.0132940814556965,inf,0,0,0,0,-1,inf,0,-1,0,0,6080,1729,0,0,1616,2735,1.6338930626009258,3.8139706020221498,False
following_lateral_offset,P3,12000,40,4.0,1.5,20.649833920569307,16.001791007316,0.004205602699578949,7.636400952430603e-20,1000000000.0,35.14500000000001,35.13022406374488,4.888935051015462,1.969792479027246,inf,0,0,0,0,-1,inf,0,-1,0,0,6080,1668,0,0,1657,2755,1.6338930626009258,3.8139706020221498,False
following_lateral_offset,P4,12000,40,4.0,1.5,20.67150444832649,16.001791007316,0.0042088467276404085,7.636400952430603e-20,1000000000.0,35.03333333333333,35.01801948192388,4.996387393749507,2.156947929207239,inf,0,0,0,0,-1,inf,0,-1,0,0,6080,1725,0,0,1590,2765,1.6338930626009258,3.8139706020221498,False
following_lateral_offset,P0,12001,40,4.0,1.5,16.97936635347895,11.79539753388019,0.019877939460637085,3.954784904332774e-09,999999996.0452152,35.733333333333334,35.733333333333334,4.490483765079709,1.8398979693897914,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,2846,3234,1.621066885958316,3.849767745652082,False
following_lateral_offset,P1,12001,40,4.0,1.5,16.97936635347895,11.79539753388019,0.019877939460637085,3.954784904332774e-09,999999996.0452152,35.733333333333334,35.733333333333334,4.490483765079709,1.8398979693897914,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,2846,3234,1.621066885958316,3.849767745652082,False
following_lateral_offset,P2,12001,40,4.0,1.5,16.97936635347895,11.79539753388019,0.019877939460637085,3.954784904332774e-09,999999996.0452152,35.733333333333334,35.733333333333334,4.490483765079709,1.8398979693897914,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,2846,3234,1.621066885958316,3.849767745652082,False
following_lateral_offset,P3,12001,40,4.0,1.5,17.00383987515521,11.937682690993006,0.019187727154449163,2.3853150634003738e-09,999999997.614685,35.70333333333333,35.70333333333333,4.518998168227605,1.8506122551040771,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,2838,3242,1.621066885958316,3.849767745652082,False
following_lateral_offset,P4,12001,40,4.0,1.5,18.44807722577749,16.137508032910766,0.006258315202215282,2.0684856690520753e-20,1000000000.0,35.47833333333334,35.473447765718234,4.661475307508163,1.8506122551040771,inf,0,0,0,0,-1,inf,1,1,0,1,6080,263,0,0,2567,3250,1.621066885958316,3.849767745652082,False
following_lateral_offset,P0,12002,40,4.0,1.5,11.785614819078996,0.4758211309776499,0.31661181845673203,0.014417177268177312,985582822.7318226,36.09166666666666,36.07441253707198,4.37748010893312,1.5612388582995085,inf,0,0,0,0,-1,inf,0,-1,0,0,6080,1331,0,0,1894,2855,1.6801316419628702,3.8251668060312,False
following_lateral_offset,P1,12002,40,4.0,1.5,11.788036352927772,0.5425315006983098,0.31657896888496867,0.014317424045869881,985682575.9541302,36.085,36.06775058284951,4.383566086496861,1.592705619421734,inf,0,0,0,0,-1,inf,0,-1,0,0,6080,1330,0,0,1895,2855,1.6801316419628702,3.8251668060312,False
following_lateral_offset,P2,12002,40,4.0,1.5,11.795027141803384,0.6914590032592223,0.31646128376967847,0.01403915759120109,985960842.4087989,36.07,36.052761185848944,4.397265693415765,1.6449148112059857,inf,0,0,0,0,-1,inf,0,-1,0,0,6080,1329,0,0,1893,2858,1.6801316419628702,3.8251668060312,False
following_lateral_offset,P3,12002,40,4.0,1.5,11.790373253941555,0.5923535413463732,0.3165402471979619,0.014224186548609288,985775813.4513909,36.079999999999984,36.06275411718264,4.388131677143944,1.6097824958589508,inf,0,0,0,0,-1,inf,0,-1,0,0,6080,1330,0,0,1895,2855,1.6801316419628702,3.8251668060312,False
