planner,episodes,collision_rate,mean_regret,mean_probe_fraction,mean_parameter_error,mean_progress_m,mean_outage
C0,120,0.0,0.0,0.0,1.011511108,24.772150950,0.065613103
C1,120,0.0,1.850371708e-18,0.0,0.851136410,24.772150950,0.065613103
C2,120,0.0,1.850371708e-18,0.0,0.851136410,24.772150950,0.065613103
C3,120,0.0,1.850371708e-18,0.0,0.851136410,24.772150950,0.065613103
C4,120,0.0,0.0,0.0,0.0,24.772150950,0.065613103
