planner,episodes,outage,snr_db,ber_model,goodput_bps_model,path_length_m,progress_m,min_target_distance_m,min_realized_ttc_s,collision_rate,mean_no_candidate_steps,max_no_candidate_steps
P0,100,0.2061690613602355,13.082981579568163,0.057091475093622404,942908524.9063776,30.879117243433125,30.855235572782643,3.3196535963862233,0.9160439670351659,0.0,0.04,3
P1,100,0.1014583515994946,15.776748616720813,0.002749136114780329,997250863.8852197,30.857692648423257,30.838374639097086,3.3196535963862233,0.9160439670351659,0.0,0.04,3
P2,100,0.09000791686381131,15.990580732357799,0.002500442432663702,997499557.5673363,30.836485708634864,30.815832092784873,3.445913111564608,0.9483764732014311,0.0,0.0,0
P3,100,0.09260625453023033,15.917469650205657,0.0027319472834912806,997268052.7165087,30.84027486365433,30.821331008223957,3.4304935543321515,0.9997278120679469,0.0,0.0,0
P4,100,0.08149622261635203,16.41471286991282,0.0008977699041845881,999102230.0958154,30.763097243433123,30.741591057764744,3.640697387715466,1.079597597587932,0.0,0.0,0
