planner,episodes,outage,snr_db,ber_model,goodput_bps_model,path_length_m,progress_m,min_target_distance_m,min_realized_ttc_s,collision_rate,mean_no_candidate_steps,max_no_candidate_steps
P0,100,0.19145065289261953,13.269489224037924,0.05438785969066964,945612140.3093305,30.06589057676646,30.042309642342847,4.968084386251718,2.4831494638426803,0.0,0.0,0
P1,100,0.08711775284738468,15.888634759910804,0.00010688717691909863,999893112.8230809,29.986449433314466,29.96759039850899,5.154258015577045,2.4831494638426803,0.0,0.0,0
P2,100,0.08671557395799916,15.90361832111953,0.0001441459842862066,999855854.0157138,30.05655643107675,30.03573767976654,4.968084386251718,2.4831494638426803,0.0,0.0,0
P3,100,0.08366512743199885,15.91528913303947,9.299516901195364e-05,999907004.830988,30.066215961724097,30.047587279701634,4.968084386251718,2.4831494638426803,0.0,0.0,0
P4,100,0.08039703583498549,16.003410600080926,9.024300114435025e-05,999909756.9988556,30.057280576766455,30.03762452420881,4.974745132726377,2.4831494638426803,0.0,0.0,0
