planner,episodes,outage,snr_db,ber_model,goodput_bps_model,path_length_m,progress_m,min_target_distance_m,min_realized_ttc_s,collision_rate,mean_no_candidate_steps,max_no_candidate_steps
P0,100,0.19668655240662403,13.24078633045505,0.05445227104948457,945547728.9505154,30.66138391009978,30.636419825571405,3.7417776523999784,1.1766857257165668,0.0,0.49,5
P1,100,0.09248608725658797,15.990398362959956,0.00012675943589736773,999873240.5641026,30.69208886385859,30.671645400187064,3.7417776523999784,1.1766857257165668,0.0,0.57,5
P2,100,0.09627454042913967,15.961365291658176,0.0029013221614590684,997098677.8385409,30.64366978537249,30.62083852967467,3.6976530711838667,1.159632605565728,0.0,0.51,5
P3,100,0.08792829826671678,15.983570643655966,0.0016434128132387946,998356587.1867614,30.652334281523576,30.63061741771396,3.6976530711838667,1.159632605565728,0.0,0.49,5
P4,100,0.07837227646771183,16.39633619570426,6.0887110241515144e-05,999939112.8897585,30.62066391009978,30.597529536215756,3.6976530711838667,1.159632605565728,0.0,0.49,5
