scenario,planner,seed,steps,duration_s,planning_safety_margin_m,mean_snr_db,min_snr_db,mean_outage_probability,mean_ber_model,mean_goodput_bps_model,path_length_m,progress_m,min_target_distance_m,min_realized_ttc_s,min_static_obstacle_clearance_m,static_clearance_violation_steps,static_clearance_violation_indicator,collision_indicator,collision_steps,first_collision_step,first_collision_time_s,no_candidate_steps,first_no_candidate_step,zero_candidate_after_static_steps,zero_candidate_after_dynamic_steps,candidate_evaluations,candidate_road_rejections,candidate_speed_rejections,candidate_static_rejections,candidate_dynamic_rejections,candidate_feasible,prediction_ade_m,prediction_fde_m,measured_optical_link
following_lateral_offset,P0,9000,40,4.0,2.5,16.726517042651846,11.056248887573183,0.02654301591571545,4.680256628135925e-08,999999953.1974337,35.878333333333345,35.878333333333345,4.352945682076796,1.5546938859974648,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,1916,4164,1.8225331140428995,4.157889384919348,False
following_lateral_offset,P1,9000,40,4.0,2.5,16.750693458577842,11.047230776418225,0.02638363584015917,4.991415720889242e-08,999999950.0858428,35.88000000000002,35.88000000000002,4.351367601111156,1.612640701300428,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,1902,4178,1.8225331140428995,4.157889384919348,False
following_lateral_offset,P2,9000,40,4.0,2.5,18.509665380549393,16.137508032910766,0.005991043894277822,2.0676442016347473e-20,1000000000.0,35.69833333333333,35.693300367639594,4.4413164975656825,1.5422266592314888,inf,0,0,0,0,-1,inf,1,1,0,1,6080,311,0,0,1608,4161,1.8225331140428995,4.157889384919348,False
following_lateral_offset,P3,9000,40,4.0,2.5,17.29739157892303,13.048957629332397,0.01389565470310738,2.2734773026304147e-11,999999999.9772651,35.84833333333334,35.846419089581765,4.356210750224619,1.5546938859974648,inf,0,0,0,0,-1,inf,1,1,0,1,6080,99,0,0,1801,4180,1.8225331140428995,4.157889384919348,False
following_lateral_offset,P4,9000,40,4.0,2.5,18.02240598405628,15.108475410669396,0.008178813157455337,1.1143091703888225e-16,1000000000.0,35.74500000000001,35.741258680309144,4.423174679133995,1.5422266592314888,inf,0,0,0,0,-1,inf,1,1,0,1,6080,223,0,0,1696,4161,1.8225331140428995,4.157889384919348,False
following_lateral_offset,P0,9001,40,4.0,2.5,16.118955977607044,6.5799389043690795,0.07334686319476033,0.0001485566107472545,999851443.3892529,36.140000000000015,36.13894909969688,4.123003996336769,1.2489401013843289,inf,0,0,0,0,-1,inf,1,1,0,1,6080,53,0,0,2029,3998,1.8669593561435256,4.219168712727196,False
following_lateral_offset,P1,9001,40,4.0,2.5,16.118955977607044,6.5799389043690795,0.07334686319476033,0.0001485566107472545,999851443.3892529,36.140000000000015,36.13894909969688,4.123003996336769,1.2489401013843289,inf,0,0,0,0,-1,inf,1,1,0,1,6080,53,0,0,2029,3998,1.8669593561435256,4.219168712727196,False
following_lateral_offset,P2,9001,40,4.0,2.5,17.1975187187683,11.625620969522522,0.019676898817495223,7.640500103676826e-09,999999992.3594999,36.14000000000002,36.13536883801644,4.067441025004197,1.2198802795230397,inf,0,0,0,0,-1,inf,2,1,0,2,6080,159,0,0,2006,3915,1.8669593561435256,4.219168712727196,False
following_lateral_offset,P3,9001,40,4.0,2.5,16.547642055895174,7.942667158476766,0.047138473960424074,2.6046863637836746e-05,999973953.1363621,36.140000000000015,36.1384059385477,4.101218968933518,1.2198802795230397,inf,0,0,0,0,-1,inf,1,1,0,1,6080,71,0,0,2043,3966,1.8669593561435256,4.219168712727196,False
following_lateral_offset,P4,9001,40,4.0,2.5,17.728872940139944,15.226439147760491,0.008964488251926726,4.294441154967031e-17,1000000000.0,36.03166666666668,36.02718987311806,4.145258227359924,1.2784183923944323,inf,0,0,0,0,-1,inf,1,1,0,1,6080,203,0,0,1802,4075,1.8669593561435256,4.219168712727196,False
