planner,episodes,outage,snr_db,ber_model,goodput_bps_model,path_length_m,progress_m,min_target_distance_m,min_realized_ttc_s,collision_rate,mean_no_candidate_steps,max_no_candidate_steps
P0,100,0.21363469829829906,12.739191223060127,0.059271556066623904,940728443.9333762,30.51641391009979,30.490291987317185,4.153618318476675,1.5199129501945812,0.0,0.0,0
P1,100,0.10395126049999773,15.476415941440443,0.003919808206645753,996080191.7933544,30.46618943331446,30.444858913360203,4.311757584665251,1.5199129501945812,0.0,0.0,0
P2,100,0.10797491543958898,15.38367194349236,0.004133603902771876,995866396.097228,30.501283097743418,30.477713060025394,4.153618318476675,1.5067673692118762,0.0,0.0,0
P3,100,0.10470316205962864,15.499608792335275,0.004061981538601278,995938018.4613987,30.50016262839076,30.47868534957761,4.153618318476675,1.6231746190507936,0.0,0.0,0
P4,100,0.09579259694606984,15.514825563635249,0.0031525917881564517,996847408.2118436,30.457610576766456,30.433273701815036,4.3403906278411775,1.514820182540411,0.0,0.0,0
