planner,episodes,mean_outage_probability,mean_snr_db,mean_min_snr_db,mean_ber_model,mean_goodput_bps_model,collision_episodes,no_candidate_episodes,static_violation_episodes,margin_relaxation_episodes
P0,250,0.21416728182758002,13.082233495448076,3.5596417422058537,0.059011549837157284,940988450.1628428,0,0,0,16
P1,250,0.1107344349583345,15.691702560244837,7.932769238113696,0.004715265564253867,995284734.4357462,0,0,0,17
P2,250,0.09333893211563406,15.971612685681439,9.942500750415885,0.0016698994309387967,998330100.5690613,0,0,0,12
P3,250,0.09969699934051131,15.85149003393638,9.389420385690077,0.002290957695781555,997709042.3042185,0,0,0,14
P4,250,0.091944028259028,16.020565833010355,9.877497452375733,0.0018748468444086432,998125153.1555915,0,0,0,11
