margin_m,episodes,target_collision_episodes,no_candidate_episodes,static_clearance_violation_episodes,minimum_target_separation_m,minimum_static_surface_clearance_m,passes
0.0,500,0,26,0,2.107103889762329,1.5001177930900464,False
0.5,500,0,27,0,2.494165732538458,1.5001177930900464,False
1.0,500,0,4,0,3.3196535963862237,1.5001177930900464,False
1.5,500,0,35,0,4.163938536480182,1.5001177930900464,False
2.0,500,0,190,0,4.534840205689772,1.5001177930900464,False
2.5,500,0,200,0,4.970748682936835,1.5001177930900464,False
3.0,500,0,200,0,5.352433571337852,1.5001177930900464,False
