scenario,planner,seed,steps,duration_s,planning_safety_margin_m,mean_snr_db,min_snr_db,mean_outage_probability,mean_ber_model,mean_goodput_bps_model,path_length_m,progress_m,min_target_distance_m,min_realized_ttc_s,min_static_obstacle_clearance_m,static_clearance_violation_steps,static_clearance_violation_indicator,collision_indicator,collision_steps,first_collision_step,first_collision_time_s,no_candidate_steps,first_no_candidate_step,margin_relaxation_steps,margin_relaxation_indicator,first_margin_relaxation_step,zero_candidate_after_static_steps,zero_candidate_after_dynamic_steps,candidate_evaluations,candidate_road_rejections,candidate_speed_rejections,candidate_static_rejections,candidate_dynamic_rejections,candidate_feasible,prediction_ade_m,prediction_fde_m,measured_optical_link
following_lateral_offset,P0,18000,40,4.0,2.0,17.193965524276102,13.294546769312461,0.014200480709014718,7.819713937191934e-12,999999999.9921802,35.37333333333334,35.37333333333334,4.8338436512204614,1.897603700463589,inf,0,0,0,0,-1,inf,0,-1,1,1,1,0,0,6080,0,0,0,2833,3247,1.7187924260751664,3.937371055251462,False
following_lateral_offset,P1,18000,40,4.0,2.0,17.239974706813783,13.44743641659168,0.013433737722617994,3.44198951217834e-12,999999999.996558,35.330000000000005,35.330000000000005,4.875335885864681,2.010857157145708,inf,0,0,0,0,-1,inf,0,-1,1,1,1,0,0,6080,0,0,0,2840,3240,1.7187924260751664,3.937371055251462,False
following_lateral_offset,P2,18000,40,4.0,2.0,17.193965524276102,13.294546769312461,0.014200480709014718,7.819713937191934e-12,999999999.9921802,35.37333333333334,35.37333333333334,4.8338436512204614,1.897603700463589,inf,0,0,0,0,-1,inf,0,-1,1,1,1,0,0,6080,0,0,0,2833,3247,1.7187924260751664,3.937371055251462,False
following_lateral_offset,P3,18000,40,4.0,2.0,17.193965524276102,13.294546769312461,0.014200480709014718,7.819713937191934e-12,999999999.9921802,35.37333333333334,35.37333333333334,4.8338436512204614,1.897603700463589,inf,0,0,0,0,-1,inf,0,-1,1,1,1,0,0,6080,0,0,0,2833,3247,1.7187924260751664,3.937371055251462,False
following_lateral_offset,P4,18000,40,4.0,2.0,17.588195588412155,14.900183016712235,0.009691741548031162,4.929246154391284e-16,999999999.9999996,35.326666666666675,35.32501159091724,4.856625278436421,1.9451054004711903,inf,0,0,0,0,-1,inf,0,-1,1,1,1,0,0,6080,72,0,0,2766,3242,1.7187924260751664,3.937371055251462,False
following_lateral_offset,P0,18001,40,4.0,2.0,17.309665252164734,14.261519987464899,0.01145633947368655,3.442104112894882e-14,999999999.9999657,35.07,35.07,5.124929267804581,2.1598469540846907,inf,0,0,0,0,-1,inf,0,-1,1,1,1,0,0,6080,0,0,0,2780,3300,1.7950080648050257,3.9719190337957833,False
following_lateral_offset,P1,18001,40,4.0,2.0,17.309665252164734,14.261519987464899,0.01145633947368655,3.442104112894882e-14,999999999.9999657,35.07,35.07,5.124929267804581,2.1598469540846907,inf,0,0,0,0,-1,inf,0,-1,1,1,1,0,0,6080,0,0,0,2780,3300,1.7950080648050257,3.9719190337957833,False
following_lateral_offset,P2,18001,40,4.0,2.0,17.31473076247997,14.32665851790303,0.011379123709993414,2.3101303838348178e-14,999999999.9999769,35.04666666666667,35.04666666666667,5.147379052596682,2.2063896259771405,inf,0,0,0,0,-1,inf,0,-1,1,1,1,0,0,6080,0,0,0,2774,3306,1.7950080648050257,3.9719190337957833,False
following_lateral_offset,P3,18001,40,4.0,2.0,17.309665252164734,14.261519987464899,0.01145633947368655,3.442104112894882e-14,999999999.9999657,35.07,35.07,5.124929267804581,2.1598469540846907,inf,0,0,0,0,-1,inf,0,-1,1,1,1,0,0,6080,0,0,0,2780,3300,1.7950080648050257,3.9719190337957833,False
following_lateral_offset,P4,18001,40,4.0,2.0,17.309665252164734,14.261519987464899,0.01145633947368655,3.442104112894882e-14,999999999.9999657,35.07,35.07,5.124929267804581,2.1598469540846907,inf,0,0,0,0,-1,inf,0,-1,1,1,1,0,0,6080,0,0,0,2780,3300,1.7950080648050257,3.9719190337957833,False
