mode,runs,mean_delay_ms,mean_violation_fraction,mean_changed_fraction,mean_unsupported_fraction,mean_mobility_deviation
P0,9,23.317655320472877,0.021787394830037,0.0,0.1561619721236943,0.0
P1,9,23.317655320472877,0.021787394830037,0.0,0.1561619721236943,0.0
P2,9,22.52573098288024,0.0189963495848642,0.0250761732289902,0.1563427876014991,0.0125380866144951
P3,9,22.59830345017927,0.0193386377109045,0.0461057576403433,0.1379816565766147,0.0230528788201716
