planner,episodes,outage,snr_db,ber_model,goodput_bps_model,path_length_m,progress_m,min_target_distance_m,min_realized_ttc_s,collision_rate,mean_no_candidate_steps,max_no_candidate_steps
P0,100,0.2157320916210241,12.986810333375828,0.05992984862297924,940070151.3770207,31.222900576766456,31.199339880010324,2.6076809620810617,0.48232144643214564,0.0,0.09,3
P1,100,0.1120537493304857,15.610947191483454,0.0056467274576864545,994353272.5423136,31.235772648423254,31.216951159978905,2.6076809620810617,0.48232144643214564,0.0,0.09,3
P2,100,0.09243190551207914,15.955348962381386,0.0014375220431033914,998562477.9568967,31.191285708634865,31.170951676643494,2.494165732538458,0.38722531058888504,0.0,0.1,4
P3,100,0.09867772391590215,15.839124972816307,0.0019753439900223307,998024656.0099777,31.201471530320998,31.183099696050107,2.494165732538458,0.38722531058888504,0.0,0.1,4
P4,100,0.09419276152501668,15.925487211579407,0.0022656872387801326,997734312.76122,31.19189391009979,31.172011334764782,2.494165732538458,0.48232144643214564,0.0,0.14,4
