planner,episodes,outage,snr_db,ber_model,goodput_bps_model,path_length_m,progress_m,min_target_distance_m,min_realized_ttc_s,collision_rate,mean_no_candidate_steps,max_no_candidate_steps
P0,100,0.19262635192095903,13.26205082830392,0.054374164136591914,945625835.8634082,30.44850391009978,30.424984363581427,4.379783099652302,1.4175616094590464,0.0,0.65,5
P1,100,0.08691052833157804,16.052811983796186,6.179223980698655e-05,999938207.760193,30.466188863858587,30.447367243597807,4.379783099652302,1.4385221773418717,0.0,0.67,6
P2,100,0.0939955770857615,16.000702205614193,0.002886171545832424,997113828.4541676,30.432963118705825,30.41119111581254,4.3657854103795755,1.395472238735516,0.0,0.64,6
P3,100,0.08634238299098863,15.982332766246193,0.0016361847933733461,998363815.2066268,30.443440948190247,30.42303195575167,4.372879365852673,1.395472238735516,0.0,0.63,5
P4,100,0.07825745724603968,16.324327789541275,6.751735214143329e-05,999932482.6478586,30.418740576766446,30.397249479666254,4.434433597379026,1.395472238735516,0.0,0.64,7
