scenario,planner,seed,steps,duration_s,planning_safety_margin_m,mean_snr_db,min_snr_db,mean_outage_probability,mean_ber_model,mean_goodput_bps_model,path_length_m,progress_m,min_target_distance_m,min_realized_ttc_s,min_static_obstacle_clearance_m,static_clearance_violation_steps,static_clearance_violation_indicator,collision_indicator,collision_steps,first_collision_step,first_collision_time_s,no_candidate_steps,first_no_candidate_step,zero_candidate_after_static_steps,zero_candidate_after_dynamic_steps,candidate_evaluations,candidate_road_rejections,candidate_speed_rejections,candidate_static_rejections,candidate_dynamic_rejections,candidate_feasible,prediction_ade_m,prediction_fde_m,measured_optical_link
following_lateral_offset,P0,9000,40,4.0,3.0,17.05491526701855,13.142446225650026,0.016390964435796858,1.9338670195953448e-11,999999999.9806614,35.415000000000006,35.415000000000006,4.793977993274473,1.7267281154049283,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,2060,4020,1.8225331140428995,4.157889384919348,False
following_lateral_offset,P1,9000,40,4.0,3.0,17.076900250428487,13.234315560096524,0.016063594381570817,1.3187657989799031e-11,999999999.9868124,35.390000000000015,35.390000000000015,4.817893730666946,1.7747465529972328,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,2018,4062,1.8225331140428995,4.157889384919348,False
following_lateral_offset,P2,9000,40,4.0,3.0,19.039179777920094,16.137508032910766,0.0053356456052565835,2.0668687540366234e-20,1000000000.0,35.235000000000014,35.22507785953614,4.874026980551563,1.7267281154049283,inf,0,0,0,0,-1,inf,1,1,0,1,6080,425,0,0,1669,3986,1.8225331140428995,4.157889384919348,False
following_lateral_offset,P3,9000,40,4.0,3.0,17.598236684016957,14.648186489237158,0.010226067519843689,2.9590834205748723e-15,999999999.9999969,35.29500000000001,35.292969149634025,4.884319357679332,1.7267281154049283,inf,0,0,0,0,-1,inf,1,1,0,1,6080,95,0,0,1943,4042,1.8225331140428995,4.157889384919348,False
following_lateral_offset,P4,9000,40,4.0,3.0,19.16066294136106,16.137508032910766,0.005316345661469671,2.0668687540366234e-20,1000000000.0,35.18600000000001,35.17086295064481,4.917153780754019,1.7267281154049283,inf,0,0,0,0,-1,inf,1,1,0,1,6080,469,0,0,1636,3975,1.8225331140428995,4.157889384919348,False
following_lateral_offset,P0,9001,40,4.0,3.0,15.848130291503395,3.882074890278872,0.11287246985265771,0.002373225681098197,997626774.3189018,35.69166666666667,35.68758811423476,4.583894216642044,1.4409523909794497,inf,0,0,0,0,-1,inf,2,1,0,2,6080,136,0,0,2114,3830,1.8669593561435256,4.219168712727196,False
following_lateral_offset,P1,9001,40,4.0,3.0,16.58258683734237,8.682927593269905,0.03852907346322505,7.883019874223402e-06,999992116.9801258,35.665,35.66392342609584,4.570778019964928,1.4385221773418717,inf,0,0,0,0,-1,inf,1,1,0,1,6080,53,0,0,2133,3894,1.8669593561435256,4.219168712727196,False
following_lateral_offset,P2,9001,40,4.0,3.0,17.167633084585916,12.832022831792367,0.016693291232033468,9.437147716269271e-11,999999999.9056286,35.685,35.683565664913516,4.5184045946883655,1.4361048756233235,inf,0,0,0,0,-1,inf,3,1,0,3,6080,81,0,0,2239,3760,1.8669593561435256,4.219168712727196,False
following_lateral_offset,P3,9001,40,4.0,3.0,17.167633084585916,12.832022831792367,0.016693291232033468,9.437147716269271e-11,999999999.9056286,35.685,35.683565664913516,4.5184045946883655,1.4361048756233235,inf,0,0,0,0,-1,inf,3,1,0,3,6080,81,0,0,2239,3760,1.8669593561435256,4.219168712727196,False
following_lateral_offset,P4,9001,40,4.0,3.0,15.980915659896038,4.2978496639443975,0.1071239749896566,0.0018258473241037447,998174152.6758963,35.69166666666667,35.6868491111048,4.577584544498134,1.4361048756233235,inf,0,0,0,0,-1,inf,2,1,0,2,6080,163,0,0,2116,3801,1.8669593561435256,4.219168712727196,False
following_lateral_offset,P0,9002,40,4.0,3.0,17.1562341213534,13.676923174495897,0.014483210221729515,1.1556258080305747e-12,999999999.9988445,35.26200000000002,35.26200000000002,4.9405104999382194,1.8314285824197778,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,1858,4222,1.8277397465175511,4.094309413166095,False
following_lateral_offset,P1,9002,40,4.0,3.0,18.027665813833405,15.604481543367335,0.007897835430386888,2.2488541715703695e-18,1000000000.0,35.26200000000002,35.25801332911779,4.8922889975168475,1.8314285824197778,inf,0,0,0,0,-1,inf,1,1,0,1,6080,173,0,0,1771,4136,1.8277397465175511,4.094309413166095,False
following_lateral_offset,P2,9002,40,4.0,3.0,19.198467464730395,16.137508032910766,0.004913297532410231,2.0668687316801003e-20,1000000000.0,35.152,35.144264092232916,4.95355185390972,1.7419625341596097,inf,0,0,0,0,-1,inf,1,1,0,1,6080,439,0,0,1538,4103,1.8277397465175511,4.094309413166095,False
following_lateral_offset,P3,9002,40,4.0,3.0,18.381259998339157,16.137508032910766,0.006561942853492065,2.077987626130699e-20,1000000000.0,35.152,35.147799383777205,4.996862093005504,1.7419625341596097,inf,0,0,0,0,-1,inf,1,1,0,1,6080,245,0,0,1625,4210,1.8277397465175511,4.094309413166095,False
following_lateral_offset,P4,9002,40,4.0,3.0,18.318533999522494,16.137508032910766,0.006669547864497279,2.1290025315931792e-20,1000000000.0,35.26200000000001,35.25762456486967,4.87962190394002,1.8314285824197778,inf,0,0,0,0,-1,inf,1,1,0,1,6080,236,0,0,1707,4137,1.8277397465175511,4.094309413166095,False
following_lateral_offset,P0,9003,40,4.0,3.0,16.880286579444753,12.668035309730229,0.020542377692302514,3.17115360412139e-10,999999999.6828846,35.51666666666667,35.51666666666667,4.67774993393666,1.7303018229400355,inf,0,0,0,0,-1,inf,3,1,0,3,6080,0,0,0,2300,3780,1.9068996853727835,4.167308936891915,False
following_lateral_offset,P1,9003,40,4.0,3.0,16.80199381989589,12.137168173072691,0.023357817759413205,2.6063263316394253e-09,999999997.3936737,35.65000000000002,35.65000000000002,4.560219292972643,1.6246857257165663,inf,0,0,0,0,-1,inf,5,1,0,5,6080,0,0,0,2439,3641,1.9068996853727835,4.167308936891915,False
following_lateral_offset,P2,9003,40,4.0,3.0,17.919585229431075,15.098553483063576,0.008453405258142506,1.1744063224840605e-16,1000000000.0,35.44666666666669,35.443270835840565,4.701242899282679,1.6525660803671864,inf,0,0,0,0,-1,inf,3,1,0,3,6080,165,0,0,2088,3827,1.9068996853727835,4.167308936891915,False
following_lateral_offset,P3,9003,40,4.0,3.0,17.522707703862228,14.496120171168744,0.011500765009905545,1.827301772304463e-14,999999999.9999816,35.44666666666669,35.44476021362305,4.715090802444738,1.6525660803671864,inf,0,0,0,0,-1,inf,3,1,0,3,6080,99,0,0,2143,3838,1.9068996853727835,4.167308936891915,False
following_lateral_offset,P4,9003,40,4.0,3.0,19.40771551813453,16.137508032910766,0.00555833963667444,2.0688018581783702e-20,1000000000.0,35.42333333333335,35.39864448714418,4.651635785853468,1.6525660803671864,inf,0,0,0,0,-1,inf,3,1,0,3,6080,602,0,0,1710,3768,1.9068996853727835,4.167308936891915,False
following_lateral_offset,P0,9004,40,4.0,3.0,17.00348400418018,13.086433664917957,0.017363751189717676,2.6031809437612636e-11,999999999.9739681,35.43,35.43,4.77963387719185,1.752685725716569,inf,0,0,0,0,-1,inf,1,1,0,1,6080,0,0,0,1982,4098,1.8217073995019,4.047051677859335,False
following_lateral_offset,P1,9004,40,4.0,3.0,17.662307114596132,14.583977780099062,0.009927444870528851,4.654059674756769e-15,999999999.9999955,35.42333333333333,35.42042287481354,4.749834588564945,1.752685725716569,inf,0,0,0,0,-1,inf,1,1,0,1,6080,119,0,0,1892,4069,1.8217073995019,4.047051677859335,False
