planner,episodes,outage,snr_db,ber_model,goodput_bps_model,path_length_m,progress_m,min_target_distance_m,min_realized_ttc_s,collision_rate,mean_no_candidate_steps,max_no_candidate_steps
P0,100,0.18881371074293327,13.298869522790792,0.054342824189360435,945657175.8106396,29.83312724343313,29.80968450844437,5.352433571337852,2.516733972354231,0.0,0.4,1
P1,100,0.11069195986566965,14.831927759748073,0.015239322990487157,984760677.0095129,29.76800598175659,29.74697537866764,5.603219321301472,2.57126155225984,0.0,0.4,1
P2,100,0.10844792364177726,14.907177536196098,0.015249536026724034,984750463.9732759,29.8248090419682,29.802753703865722,5.352433571337852,2.516733972354231,0.0,0.4,1
P3,100,0.10791385478324518,14.837946444174543,0.01523481382031968,984765186.1796803,29.832201530321,29.812134011193884,5.352433571337852,2.516733972354231,0.0,0.4,1
P4,100,0.10535810071178638,14.959279061042059,0.015231892982622302,984768107.0173777,29.81712391009979,29.795539138385628,5.377081428725078,2.510636411378623,0.0,0.4,1
