planner,episodes,outage,snr_db,ber_model,goodput_bps_model,path_length_m,progress_m,min_target_distance_m,min_realized_ttc_s,collision_rate,mean_no_candidate_steps,max_no_candidate_steps
P0,100,0.21941961949936073,12.575007630832529,0.0609747995941994,939025200.4058006,30.564343910099794,30.53763325964759,4.12565418678278,1.4991108008578913,0.0,0.0,0
P1,100,0.11050949853689998,15.325504216147625,0.005690672032368319,994309327.9676317,30.51438778706927,30.492001506157184,4.138637473321979,1.4890847213398068,0.0,0.0,0
P2,100,0.10297665465424133,15.431274024062418,0.00568404306332623,994315956.9366738,30.543629638349362,30.52017296378564,4.12565418678278,1.4981802448705746,0.0,0.0,0
P3,100,0.10362639844139572,15.482475557863474,0.005723188014796971,994276811.9852031,30.538553158296867,30.516985342729736,4.12565418678278,1.5715369760450322,0.0,0.0,0
P4,100,0.08999954663583484,15.721158296517938,0.0031593428960659236,996840657.103934,30.486970576766456,30.46228823416029,4.193567908386789,1.4620304258453494,0.0,0.0,0
